Data da Coleta,Amostra,Motivo,Município,Sistema,Chuva nas Últimas 48h,Cloro Residual Livre (mg/L),Turbidez (uT),Cor Aparente (uH),pH,Coliformes Totais,E. Coli,Fluoretação
2 de mar. de 2026,260727000007,Rotina,Jaramataia,SAA DE PAO DE ACUCAR URBANO,Sim,0.5,75,,,Ausente,Ausente,Não
2 de mar. de 2026,260715000038,Rotina,Traipu,SAA DE TRAIPU URBANO,Sim,0.8,9.2,,,Ausente,Ausente,Não
2 de mar. de 2026,260807000020,Rotina,Igaci,SAA DE ARAPIRACAA,Sim,,57,,,Presente,Presente,Não
2 de mar. de 2026,260720000050,Rotina,Arapiraca,SAI COMUNIDADE NOVA VIDA,Sim,,2.17,,,Presente,Ausente,Não
2 de mar. de 2026,260808000024,Rotina,Maribondo,SAA DE ANADIA,Sim,0.01,6,18,,Ausente,Ausente,Não
2 de mar. de 2026,JAC 153,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,MC 19,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,1,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,IBT 003,Rotina,Ibateguara,SAA DE IBATEGUARA SEDE,Sim,0.3,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260808000023,Rotina,Maribondo,SAA DE ANADIA,Sim,0.01,1,3,,Ausente,Ausente,Não
2 de mar. de 2026,260720000046,Rotina,Arapiraca,SAA DE ARAPIRACAA,Sim,1.5,0.8,,,Ausente,Ausente,Não
2 de mar. de 2026,260720000049,Rotina,Arapiraca,SAI COMUNIDADE NOVA VIDA,Sim,,3.1,,,Ausente,Ausente,Não
2 de mar. de 2026,260715000039,Rotina,Traipu,SAA DE TRAIPU URBANO,Sim,0.5,8.4,,,Presente,Presente,Não
2 de mar. de 2026,CAR 020,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,1,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,CAR 022,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,0.3,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260727000008,Rotina,Jaramataia,SAA DE PAO DE ACUCAR URBANO,Sim,0.5,76,,,Ausente,Ausente,Não
2 de mar. de 2026,CAR 023,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,1,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260720000043,Rotina,Arapiraca,SAA DE ARAPIRACAA,Sim,1.5,0.1,,,Presente,Presente,Não
2 de mar. de 2026,260920000024,Rotina,Poço das Trincheiras,SAC DE POCO DAS TRINCHEIRAS VEICULO TRANSPORTADOR,Não,1,0.9,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,JAC 155,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260720000045,Rotina,Arapiraca,SAA DE ARAPIRACAA,Sim,1.5,0.95,,,Ausente,Ausente,Não
2 de mar. de 2026,260727000006,Rotina,Jaramataia,SAA DE PAO DE ACUCAR URBANO,Sim,0.5,76,,,Ausente,Ausente,Não
2 de mar. de 2026,261007000032,Rotina,Delmiro Gouveia,SAA DE DELMIRO GOUVEIA ADUTORAA,Sim,3,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,IBT 005,Rotina,Ibateguara,SAA DE IBATEGUARA CANASTRA,Sim,0,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,2609200000022,Rotina,Poço das Trincheiras,SAA DE PAO DE ACUCAR URBANO,Não,1,0.87,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260808000022,Rotina,Maribondo,SAA DE ANADIA,Sim,0.1,26.5,75,,Presente,Ausente,Não
2 de mar. de 2026,261007000036,Rotina,Delmiro Gouveia,SAA DE DELMIRO GOUVEIA ADUTORAA,Sim,3,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,MC 21,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260720000042,Rotina,Arapiraca,SAA DE ARAPIRACAA,Sim,1.5,0.1,,,Presente,Presente,Não
2 de mar. de 2026,IBT 004,Rotina,Ibateguara,SAC DE IBATEGUARA ACADEMIA FUNCION,Sim,0.1,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260720000047,Rotina,Arapiraca,SAI PCA PEREIRA MAGALHAES,Sim,,0.7,,,Presente,Ausente,Não
