Coord,Prestadora,P Dashboard
"-9.3918, -35.8389",BRK,"Pressão: 25 mca
Data de Aferição: 27/02/25
Status: Conforme"
"-9.3909, -38.0112",ADS,"Pressão: 40 mca
Data de Aferição: 23/04/25
Status: Conforme"
"-9.3905, -37.0969",ADS,"Pressão: 2 mca
Data de Aferição: 28/05/25
Status: Desconforme"
"-9.3900, -35.8382",BRK,"Pressão: 23 mca
Data de Aferição: 27/02/25
Status: Conforme"
"-9.3894, -37.2478",ADS,"Pressão: 9 mca
Data de Aferição: 09/07/25
Status: Desconforme"
"-9.3893, -37.9990",ADS,"Pressão: 20 mca
Data de Aferição: 23/04/25
Status: Conforme"
"-9.3893, -37.9868",ADS,"Pressão: 31 mca
Data de Aferição: 23/04/25
Status: Conforme"
"-9.3885, -38.0051",ADS,"Pressão: 34 mca
Data de Aferição: 23/04/25
Status: Conforme"
"-9.3885, -37.0983",ADS,"Pressão: 0 mca
Data de Aferição: 28/05/25
Status: Desconforme"
"-9.3883, -37.0898",ADS,"Pressão: 1 mca
Data de Aferição: 28/05/25
Status: Desconforme"
"-9.3880, -37.0879",ADS,"Pressão: 8,5 mca
Data de Aferição: 28/05/25
Status: Desconforme"
"-9.3871, -37.9909",ADS,"Pressão: 39 mca
Data de Aferição: 23/04/25
Status: Conforme"
"-9.3864, -35.8371",BRK,"Pressão: 21 mca
Data de Aferição: 27/02/25
Status: Conforme"
"-9.3859, -37.0885",ADS,"Pressão: 0 mca
Data de Aferição: 28/05/25
Status: Desconforme"
"-9.3855, -37.0880",ADS,"Pressão: 16 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.3851, -37.0906",ADS,"Pressão: 8,5 mca
Data de Aferição: 28/05/25
Status: Desconforme"
"-9.3850, -35.8379",BRK,"Pressão: 8 mca
Data de Aferição: 27/02/25
Status: Desconforme"
"-9.3849, -35.8370",BRK,"Pressão: 23 mca
Data de Aferição: 27/02/25
Status: Conforme"
"-9.3839, -37.0912",ADS,"Pressão: 8 mca
Data de Aferição: 28/05/25
Status: Desconforme"
"-9.3838, -37.0877",ADS,"Pressão: 12 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.3837, -35.8383",BRK,"Pressão: 7 mca
Data de Aferição: 27/02/25
Status: Desconforme"
"-9.3836, -37.9960",ADS,"Pressão: 20 mca
Data de Aferição: 23/04/25
Status: Conforme"
"-9.3835, -37.0891",ADS,"Pressão: 9 mca
Data de Aferição: 28/05/25
Status: Desconforme"
"-9.3829, -35.8379",BRK,"Pressão: 12 mca
Data de Aferição: 27/02/25
Status: Conforme"
