Município,Processo,Prestadora,NC,Descrição,Status,Categoria
PENEDO,E:49070.0000002946/2025,ADS,NC 20,Ausência de limpeza e capinação no perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 17,Ausência de pastilhas de cloro no dipositivo,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 16,Ausência de guarda-corpo na escada de acesso dos reservatórios,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 30,Ausência de identificação e sinalização,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 31,Ausência de laje sanitária dos poços,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 32,Ausência de dispositivo de controle de acesso,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 33,Ausência de limpeza e capinação do perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 34,Anomalias na estrtura do reservatório,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 75,Ausência de macromedidor,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 74,Ausência de macromedidor,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 73,Ausência de limpeza e capinação do perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 72,Ausência de guarda-corpo na laje de coberta,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 71,Eflorescências no reservatório,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 70,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 69,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 68,Ausência de limpeza e capinação,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 67,Ausência de laje sanitária do poço,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 66,Ausência de identificação,Repasse,Ausência de Identificação
